order_status,review_score,order_item_id,price,freight_value,faixa_preco
delivered,5,1,58.9,13.29,Medio
delivered,4,1,239.9,19.93,Alto
delivered,5,1,199.0,17.87,Alto
delivered,4,1,12.99,12.79,Baixo
delivered,5,1,199.9,18.14,Alto
delivered,4,1,21.9,12.69,Baixo
delivered,4,1,19.9,11.85,Baixo
delivered,5,1,810.0,70.75,Alto
delivered,1,1,145.95,11.65,Alto
delivered,4,1,53.99,11.4,Medio
delivered,5,1,59.99,8.88,Medio
delivered,5,1,45.0,12.98,Baixo
delivered,5,1,74.0,23.32,Medio
delivered,5,1,49.9,13.37,Baixo
delivered,5,2,49.9,13.37,Baixo
delivered,5,1,99.9,27.65,Medio
delivered,4,1,639.0,11.34,Alto
delivered,1,1,144.0,8.77,Alto
delivered,5,1,99.0,13.71,Medio
delivered,3,1,25.0,16.11,Baixo
delivered,3,1,47.9,8.88,Baixo
delivered,3,1,21.99,11.85,Baixo
delivered,4,1,119.99,44.4,Alto
delivered,4,1,49.0,15.1,Baixo
delivered,5,1,48.9,16.6,Baixo
delivered,5,1,219.9,16.98,Alto
delivered,4,1,289.0,26.33,Alto
delivered,5,1,109.9,25.51,Medio
delivered,5,1,27.9,7.94,Baixo
delivered,5,1,119.9,17.32,Alto
delivered,4,1,397.0,24.65,Alto
delivered,2,1,59.9,23.35,Medio
delivered,5,1,16.5,14.1,Baixo
delivered,5,1,21.9,15.1,Baixo
delivered,1,1,39.0,16.11,Baixo
delivered,5,1,49.75,20.8,Baixo
delivered,1,1,809.1,44.29,Alto
delivered,5,1,99.99,13.72,Medio
delivered,5,1,59.9,19.95,Medio
delivered,4,1,24.89,17.63,Baixo
delivered,4,2,24.89,17.63,Baixo
delivered,4,3,24.89,17.63,Baixo
delivered,5,1,54.0,8.54,Medio
delivered,5,1,81.99,13.01,Medio
delivered,2,1,99.0,13.71,Medio
delivered,1,1,18.99,7.78,Baixo
delivered,1,2,18.99,7.78,Baixo
delivered,5,1,38.33,16.79,Baixo
delivered,5,1,69.9,18.0,Medio
delivered,5,1,195.0,18.21,Alto
delivered,1,1,35.9,15.2,Baixo
delivered,4,1,79.5,21.05,Medio
delivered,5,1,29.99,15.1,Baixo
delivered,4,1,109.9,13.21,Medio
delivered,5,1,74.9,16.49,Medio
delivered,5,1,14.95,18.23,Baixo
delivered,5,1,149.9,43.11,Alto
delivered,4,1,19.99,14.1,Baixo
delivered,5,1,390.0,29.39,Alto
delivered,4,1,135.0,21.75,Alto
delivered,5,1,104.0,16.43,Medio
delivered,4,1,149.0,15.8,Alto
delivered,5,1,279.9,13.46,Alto
delivered,4,1,44.9,23.22,Baixo
delivered,5,1,37.99,19.18,Baixo
delivered,4,1,29.99,15.31,Baixo
delivered,5,1,120.0,15.59,Alto
delivered,4,1,492.75,21.62,Alto
delivered,5,1,94.9,18.54,Medio
delivered,4,1,88.34,21.11,Medio
delivered,5,1,199.99,65.56,Alto
delivered,5,1,99.9,19.67,Medio
delivered,4,1,78.0,8.9,Medio
delivered,4,2,78.0,8.9,Medio
delivered,3,1,155.0,14.84,Alto
delivered,5,1,249.9,34.23,Alto
shipped,3,1,53.98,23.31,Medio
delivered,5,1,8.99,32.57,Baixo
delivered,5,2,44.9,7.16,Baixo
delivered,1,1,60.6,17.67,Medio
delivered,5,1,225.0,67.24,Alto
canceled,1,1,39.9,15.38,Baixo
delivered,5,1,76.0,34.07,Medio
delivered,1,1,159.0,27.19,Alto
delivered,1,1,102.9,14.45,Medio
delivered,1,2,102.9,14.45,Medio
delivered,5,1,168.8,8.21,Alto
delivered,5,1,59.9,9.94,Medio
delivered,5,2,59.9,9.94,Medio
delivered,3,1,232.75,28.58,Alto
delivered,5,1,48.9,18.44,Baixo
delivered,5,1,87.0,12.11,Medio
delivered,5,1,87.0,12.11,Medio
delivered,4,1,131.9,18.54,Alto
delivered,5,1,19.9,14.1,Baixo
delivered,2,1,136.99,66.04,Alto
delivered,5,1,399.99,23.64,Alto
delivered,4,1,41.0,11.85,Baixo
delivered,5,1,69.0,18.58,Medio
delivered,5,2,69.0,18.58,Medio
delivered,5,1,169.9,33.33,Alto
delivered,5,1,119.0,15.28,Alto
delivered,1,1,39.9,18.08,Baixo
delivered,5,1,85.0,12.9,Medio
delivered,3,1,220.0,8.89,Alto
delivered,4,1,277.0,35.74,Alto
delivered,4,1,66.99,27.75,Medio
delivered,5,1,14.0,50.85,Baixo
delivered,1,1,85.0,17.03,Medio
delivered,1,2,85.0,17.03,Medio
delivered,5,1,229.0,9.8,Alto
delivered,5,1,99.9,0.0,Medio
delivered,2,1,84.9,34.39,Medio
delivered,5,1,189.0,33.91,Alto
delivered,1,1,49.0,7.78,Baixo
delivered,5,1,37.9,15.37,Baixo
delivered,4,1,179.93,16.14,Alto
delivered,5,1,116.9,13.84,Alto
delivered,5,1,94.9,15.51,Medio
delivered,5,1,121.99,15.73,Alto
delivered,5,1,7.79,7.78,Baixo
delivered,5,1,179.99,85.97,Alto
delivered,5,1,7.6,10.96,Baixo
delivered,1,1,49.9,17.6,Baixo
delivered,5,1,110.32,8.03,Alto
delivered,5,1,49.0,11.85,Baixo
delivered,5,1,159.9,61.18,Alto
delivered,5,1,120.0,27.39,Alto
delivered,5,1,21.5,11.98,Baixo
delivered,3,1,122.99,15.61,Alto
delivered,5,1,72.99,19.75,Medio
delivered,5,1,129.99,13.93,Alto
delivered,3,1,92.0,17.89,Medio
delivered,3,2,92.0,17.89,Medio
delivered,1,1,33.89,8.4,Baixo
delivered,1,2,33.89,8.4,Baixo
delivered,1,3,33.89,8.4,Baixo
delivered,1,4,33.89,8.4,Baixo
delivered,5,1,149.0,40.37,Alto
delivered,4,1,20.3,16.79,Baixo
delivered,5,1,179.9,15.01,Alto
delivered,5,2,179.9,15.01,Alto
delivered,5,1,109.9,12.27,Medio
delivered,1,1,89.0,25.9,Medio
delivered,5,1,120.0,13.75,Alto
delivered,5,1,75.0,14.28,Medio
delivered,5,1,46.86,14.52,Baixo
delivered,5,1,96.0,14.84,Medio
delivered,1,1,49.99,18.12,Medio
delivered,1,2,24.99,13.58,Baixo
delivered,1,3,24.99,13.58,Baixo
delivered,3,1,120.1,16.6,Alto
delivered,5,1,69.9,16.25,Medio
delivered,5,1,39.9,54.02,Baixo
delivered,4,1,159.9,20.31,Alto
delivered,5,1,540.0,16.22,Alto
delivered,5,1,189.9,31.17,Alto
delivered,5,1,14.9,8.27,Baixo
delivered,4,1,43.9,11.85,Baixo
delivered,5,1,139.0,87.28,Alto
delivered,5,1,40.35,13.71,Baixo
delivered,5,1,469.0,20.85,Alto
delivered,1,1,59.0,16.17,Medio
delivered,1,1,35.9,15.79,Baixo
delivered,1,2,35.9,15.79,Baixo
delivered,5,1,96.99,16.44,Medio
delivered,5,1,77.9,13.89,Medio
delivered,5,1,229.99,20.8,Alto
delivered,5,1,56.0,14.14,Medio
delivered,5,1,69.99,11.99,Medio
delivered,5,1,49.9,7.78,Baixo
delivered,5,1,14.0,7.39,Baixo
delivered,4,1,29.0,14.1,Baixo
delivered,5,1,99.0,43.06,Medio
delivered,4,1,499.0,30.35,Alto
delivered,2,1,39.85,12.79,Baixo
delivered,5,1,149.0,14.06,Alto
delivered,4,1,179.98,12.46,Alto
delivered,4,1,219.99,14.9,Alto
